# id	file_path	transparent_color_r	g	b
[TEXTURES]
10	textures\cars.png	255	0	255
20	textures\item.png	255	0	255
30	textures\map.png	255	0	0
40	textures\area7.png	255	0	255
50	textures\Enemies.png	255	0	255
100	textures\enemies(1).png	255	0	255
60	textures\sophia.png	255	0	255
70	textures\bricks.png	255	255	255
81	textures\intro1.png	255	255	255
82	textures\intro2.png	255	0	255
83	textures\intro3.png	255	0	255
84	textures\intro4.png	255	0	255
85	textures\outtro.png	255	0	255
86	textures\outtro1.png	255	0	255
87	textures\outtro2.png	255	0	255

# id	left	top	right	bottom	texture_id
[SPRITES]
#Attack left right
138	41	605	67	629	50

#GUNNER BULLET
139	32	305	40	313	50

#MINE
140	363	211	379	221	100
141	0	0	0	0	100

#EYESBALL
142	136	550	152	566	50
143	102	550	118	566	50
144	119	550	135	566	50

#TELE
145	71	568	95	600	50
146	98	568	122	600	50

#=====ITEM=====
#P
200	87	237	103	253	20
#H
201	66	237	82	253	20
#LIGHTNING 
202	45	237	61	253	20
#ROCKET
203	24	237	40	253	20
#HROCKET
204	3	237	19	253	20
#CLEAR
220	0	0	0	0	20

##==============BULLET===================
#car big bullet right, left, top
2000	73	200	95	206	20
2001	32	200	54	206	20
2002	172	267	178	289	20
#car small bullet jason right, left, top
2003	196	199	204	205	20
2004	217	199	225	205	20
2012	241	89	247	97	20
#bang
2005	176	94	183	102	20
2006	192	91	208	104	20
2007	213	90	229	106	20
2013	177	118	201	132	20
#electric bullet jason 
2008	3	111	18	127	20
2009	3	132	18	148	20
2010	7	153	14	168	20
2011	6	174	17	190	20
#human bullet
2020	135	180	139	184	20

#=====HEALTH - POWER=====
#health bar
2030	238	125	251	178	20
#health unit
2031	239	117	250	123	20
#power bar
2032	133	218	141	250	20

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#=====INTRO=====
#intro 1 - 2
300	300	100	301	1000	302	100	303	100	304	100	305	1000	306	100	307	100	308	100	309	1000	310	100	311	100	312	100	313	1000	314	100	315	100	316	100	317	1000	318	1000	319	100	320	100	321	100	322	100	323	100	324	100	325	100	326	1000	327	100	328	100	329	100	330	1000	331	100	332	100	333	100	334	1000	335	100	336	100	337	1000	338	1000	340	100	341	100	342	100	343	100	344	100	345	100	346	100	347	100	348	100	349	100

#=====ENDGAME=====
301	350	100
302	351	100
303	352	100
# ==== CAR =====
#idle right 
400	10001	100
#idle left 
404	10009	100
#walk right 
500	10001	100	10002	100	10003	100	10004	100
#walk left 
501	10009	100	10010	100	10011	100	10012	100

#idle up right 1
510	10036	100	10037	100	10038	100	10039	100
#idle up right 2
511	10040	100	10041	100	10042	100	10043	100
#idle up right 3
512	10044	100	10045	100	10046	100	10047	100
#idle up right 4
513	10048	100	10049	100	10050	100	10051	100
#idle up left 1
520	10020	100	10021	100	10022	100	10023	100
#idle up left 2
521	10024	100	10025	100	10026	100	10027	100
#idle up left 3
522	10028	100	10029	100	10030	100	10031	100
#idle up left 4
523	10032	100	10033	100	10034	100	10035	100

#walk up left
530	10060	100	10061	100	10062	100	10063	100
#move up left 1
531	10020	100	10025	100	10030	100	10035	100
#move up left 2
532	10024	100	10029	100	10034	100	10023	100
#move up left 3
533	10028	100	10033	100	10022	100	10027	100
#move up left 4
534	10032	100	10021	100	10026	100	10031	100
#walk up right
540	10065	100	10066	100	10067	100	10068	100
#move up right 1
541	10036	100	10041	100	10046	100	10051	100
#move up right 2
542	10040	100	10045	100	10050	100	10039	100
#move up right 3
543	10044	100	10049	100	10038	100	10043	100
#move up right 4
544	10048	100	10037	100	10042	100	10047	100
#jump-up-right
560	10070	100	10072	100	10073	400	10071	100
#jump-up-left
570	10080	100	10082	100	10083	400	10081	100
#die
599	20000	100

#=====HUMAN=====
#idle right
580	10100	100
#walk right
581	10101	100	10102	100	10103	100
#idle left
582	10104	100
#walk left
583	10105	100	10106	100	10107	100
#jump right
584	10101	100
#jump left
585	10105	100
#lie-right
586	10108	100
#lie-move-right
587	10108	100	10109	100
#lie-left
588	10110	100
#lie-move-left
589	10110	100	10111	100
#move on ladder
605	10112	100	10113	100

#=====BIG HUMAN=====
#idle look up
590	10120	100
#move up
591	10121	100	10122	100
#idle look down
592	10123	100
#move down
593	10124	100	10125	100
#idle look right
594	10126	100
#move right
595	10127	100	10126	100	10128	100
#idle look left
596	10129	100
#move left
597	10130	100	10129	100	10131	100

# ====BRICK ======
#Ladder
600	40000	100

#Lava
601	40001	100

#Arrow down
602	40002	100

#Arrow up
604	40003	100

#Brick
603	40005	100

# ==== BUG =====
#walk left
813	114	100	115	100
#walk right
814	116	100	117	100

# ==== ROBOT =========
#walk left
800	101	600	102	600
#walk right
801	103	600	104	600
#jump left
802	102	100
#jump right
803	104	100

# ==== BEE =========
#fly left
804	105	100	106	100
#fly right
805	107	100	108	100

# ==== MAYBUG =======
#fly left
806	109	100
#fly right
807	110	100
#roll
808	111	50	112	50	113	50

# ==== DOOM =====
#walk down
809	118	100	119	100
#walk left
810	120	100	121	100
#walk right
811	122	100	123	100
#walk top
812	124	100	125	100

# ==== SPIDER =====
#Walk left
815	126	100	127	100
#Walk right
816	128	100	129	100
#Bullet
817	130	100

# ==== SKELETON =====
#Walk left
818	131	100
#Walk right
819	132	100
#Attack left
820	133	100
#Attack right
821	134	100
#Bullet
822	135	100

# ===== GUNNER =====
#Nolmal
823	136	100
Attack_t_d
824	137	100
Attack_l_r
825	138	100

# ==== GUNNER BULLET=====
826	139	100

# ==== MINE =====
827	140	100
828	141	100

# =====EYESBALL======
829	142	100	143	100
830	144	100

# ====== TELE =======
831	145	100
832	146	100	220	100

# ===== ITEM =====
#P
900	200	100
901	200	100	220	100
#H
902	201	100
903	201	100	220	100
#LIGHTNING
904	202	100
905	202	100	220	100
#ROCKET
906	203	100
907	203	100	220	100
#HROCKET
908	204	100
909	204	100	220	100

# =====BULLET=====
#car big bullet right
1000	2000	100
#car big bullet left
1001	2001	100
# car big bullet top
1002	2002	100
#car small bullet right
1003	2003	100
#car small bullet left
1004	2004	100
#car small bullet top
1008	2012	100
#bang
1005	2005	300	2006	300	2007	300	2012	300
#electric bullet jason
1006	2008	100	2009	100	2010	100	2011	100
#human bullet
1007	2020	100

#=====HEALTH BAR=====
#health bar
1020	2030	100
#health/power unit
1021	2031	100
#power bar
1022	2032	100

#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
#=====INTRO=====
3	300
#=====ENDGAME=====
4	301	302	303
#=====CAR=====
5	400	404	500	501	510	511	512	513	520	521	522	523	530	540	560	570	599	531	532	533	534	541	542	543	544
#=====HUMAN=====
0	580	581	582	583	584	585	586	587	588	589	605

#=====BIG HUMAN=====
2	590	591	592	593	594	595	596	597

#=====BRICK=====
#Ladder
23	600
#Lava
24	601
#Arrow down
25	602
#Arrow up
26	604
#Brick
22	603

#=====BUG=====
7	813	814

#=====ROBOT=====
8	800	801	802	803

#=====BEE=====
9	804	805

#=====MAYBUG=====
10	806	807	808

#=====DOOM=====
11	809	810	811	812

#=====SPIDER=====
12	815	816
#=====SKELETON=====
13	818	819	820	821

#=====GUNNER=====
14	823	824	825

#=====MAYBUG2=====
15	808

#=====MINE======
16	827	828

#=====EYESBALL=====
17	829	830

#=====TELE=====
18	831	832

#=====ITEM=====
# P - item
100	900	901	902	903	904	905	906	907	908	909
# H - item
#101	902	903

#=====BULLETS=====
#car bullets
#20	1000	1001	1002	1005
20	1003	1004	1008	1005
#human bullets
21	1007	1005

#=====HEAH-POWER=====
#health bar
30	1020	1021


[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# CAR
5	50	100	5

#HUMAN
0	55	100	0

# BRICK
1	0	480	22	512	64
1	0	416	22	96	64
1	96	432	22	32	16
1	288	416	22	64	64
1	256	432	22	32	16
1	160	352	22	64	64
1	160	288	22	64	64
1	288	352	22	128	64
1	128	368	22	32	16
1	224	368	22	32	16
1	416	368	22	32	16
1	448	432	22	32	16
1	448	304	22	32	16
1	416	240	22	32	16
1	448	176	22	32	16
1	416	112	22	32	16
1	0	224	22	416	64
1	0	160	22	96	64
1	96	176	22	32	16
1	128	112	22	32	16
1	160	96	22	256	64
1	352	160	22	64	64
1	0	-1	22	512	32

1	0	-1	22	32	543
1	480	-1	22	32	543

#ROBOT
8	97	400	8
8	133	363	8
8	428	343	8
8	174	455	8
8	100	171	8
8	128	87	8

#SPIDER
12	97	320	12
12	248	30	12
12	316	40	12

#MAYBUG
10	453	148	10
10	417	212	10
10	453	276	10

# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
50	50	380	1	60	410	8
